city,state,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text
Grand Prairie,TX,75051,Dallas,183372,grand-prairie-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Grand Prairie, TX Sales Tax Calculator","The combined sales tax rate in Grand Prairie, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Grand Prairie, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Knoxville,TN,37927,Knox,183270,knoxville-tn,0.09250,9.25%,true,STATE|COUNTY,false,skipped,"Knoxville, TN Sales Tax Calculator","The combined sales tax rate in Knoxville, TN is 9.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Knoxville, TN is 9.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Worcester,MA,01609,Worcester,182544,worcester-ma,0.06250,6.25%,true,STATE,false,skipped,"Worcester, MA Sales Tax Calculator","The combined sales tax rate in Worcester, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Worcester, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Newport News,VA,23602,Newport News (city),182020,newport-news-va,0.06000,6%,true,STATE|COUNTY|DISTRICT,false,skipped,"Newport News, VA Sales Tax Calculator","The combined sales tax rate in Newport News, VA is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Newport News, VA is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Brownsville,TX,78520,Cameron,181860,brownsville-tx,0.06250,6.25%,true,STATE,true,skipped,"Brownsville, TX Sales Tax Calculator","The combined sales tax rate in Brownsville, TX is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Brownsville, TX is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Overland Park,KS,66210,Johnson,181260,overland-park-ks,0.07975,7.975%,true,STATE|COUNTY,false,skipped,"Overland Park, KS Sales Tax Calculator","The combined sales tax rate in Overland Park, KS is 7.975%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Overland Park, KS is 7.975%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Clarita,CA,91380,Los Angeles,179590,santa-clarita-ca,0.09750,9.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Clarita, CA Sales Tax Calculator","The combined sales tax rate in Santa Clarita, CA is 9.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Clarita, CA is 9.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Providence,RI,02902,Providence,177994,providence-ri,0.07000,7%,true,STATE,false,skipped,"Providence, RI Sales Tax Calculator","The combined sales tax rate in Providence, RI is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Providence, RI is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Garden Grove,CA,92841,Orange,175140,garden-grove-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Garden Grove, CA Sales Tax Calculator","The combined sales tax rate in Garden Grove, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Garden Grove, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Chattanooga,TN,37403,Hamilton,173366,chattanooga-tn,0.09250,9.25%,true,STATE|COUNTY,false,skipped,"Chattanooga, TN Sales Tax Calculator","The combined sales tax rate in Chattanooga, TN is 9.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Chattanooga, TN is 9.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Oceanside,CA,92054,San Diego,172794,oceanside-ca,0.08250,8.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Oceanside, CA Sales Tax Calculator","The combined sales tax rate in Oceanside, CA is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Oceanside, CA is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Jackson,MS,39202,Hinds,172638,jackson-ms,0.07000,7%,true,STATE,true,skipped,"Jackson, MS Sales Tax Calculator","The combined sales tax rate in Jackson, MS is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Jackson, MS is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Fort Lauderdale,FL,33310,Broward,172389,fort-lauderdale-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Fort Lauderdale, FL Sales Tax Calculator","The combined sales tax rate in Fort Lauderdale, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Fort Lauderdale, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Rosa,CA,95402,Sonoma,171990,santa-rosa-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Rosa, CA Sales Tax Calculator","The combined sales tax rate in Santa Rosa, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Rosa, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Rancho Cucamonga,CA,91737,San Bernardino,171386,rancho-cucamonga-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Rancho Cucamonga, CA Sales Tax Calculator","The combined sales tax rate in Rancho Cucamonga, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Rancho Cucamonga, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Port St. Lucie,FL,34986,St. Lucie,171016,port-st-lucie-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Port St. Lucie, FL Sales Tax Calculator","The combined sales tax rate in Port St. Lucie, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Port St. Lucie, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tempe,AZ,85280,Maricopa,168228,tempe-az,0.08100,8.1%,true,STATE|COUNTY|CITY,false,skipped,"Tempe, AZ Sales Tax Calculator","The combined sales tax rate in Tempe, AZ is 8.1%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tempe, AZ is 8.1%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Ontario,CA,91758,San Bernardino,167500,ontario-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Ontario, CA Sales Tax Calculator","The combined sales tax rate in Ontario, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Ontario, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Vancouver,WA,98661,Clark,167405,vancouver-wa,0.09000,9%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Vancouver, WA Sales Tax Calculator","The combined sales tax rate in Vancouver, WA is 9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Vancouver, WA is 9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Cape Coral,FL,33990,Lee,165831,cape-coral-fl,0.06500,6.5%,true,STATE|COUNTY,false,skipped,"Cape Coral, FL Sales Tax Calculator","The combined sales tax rate in Cape Coral, FL is 6.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Cape Coral, FL is 6.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sioux Falls,SD,57104,Minnehaha,164676,sioux-falls-sd,0.06200,6.2%,true,STATE|CITY,false,skipped,"Sioux Falls, SD Sales Tax Calculator","The combined sales tax rate in Sioux Falls, SD is 6.2%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sioux Falls, SD is 6.2%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Springfield,MO,65898,Greene,164122,springfield-mo,0.06350,6.35%,true,STATE|CITY,false,skipped,"Springfield, MO Sales Tax Calculator","The combined sales tax rate in Springfield, MO is 6.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Springfield, MO is 6.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Peoria,AZ,85381,Maricopa,162592,peoria-az,0.08100,8.1%,true,STATE|COUNTY|CITY,false,skipped,"Peoria, AZ Sales Tax Calculator","The combined sales tax rate in Peoria, AZ is 8.1%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Peoria, AZ is 8.1%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pembroke Pines,FL,33028,Broward,162329,pembroke-pines-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Pembroke Pines, FL Sales Tax Calculator","The combined sales tax rate in Pembroke Pines, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pembroke Pines, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Elk Grove,CA,95759,Sacramento,161007,elk-grove-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Elk Grove, CA Sales Tax Calculator","The combined sales tax rate in Elk Grove, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Elk Grove, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Salem,OR,97301,Marion,160614,salem-or,0.00000,0%,false,,false,skipped,"Salem, OR Sales Tax Calculator","Salem, OR has no general sales tax. Use the calculator to check tax by product category and see your total.","Salem, OR doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Lancaster,CA,93539,Los Angeles,159523,lancaster-ca,0.11250,11.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Lancaster, CA Sales Tax Calculator","The combined sales tax rate in Lancaster, CA is 11.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lancaster, CA is 11.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Corona,CA,92877,Riverside,159503,corona-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Corona, CA Sales Tax Calculator","The combined sales tax rate in Corona, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Corona, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Eugene,OR,97401,Lane,159190,eugene-or,0.00000,0%,false,,false,skipped,"Eugene, OR Sales Tax Calculator","Eugene, OR has no general sales tax. Use the calculator to check tax by product category and see your total.","Eugene, OR doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Palmdale,CA,93552,Los Angeles,157161,palmdale-ca,0.11250,11.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Palmdale, CA Sales Tax Calculator","The combined sales tax rate in Palmdale, CA is 11.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Palmdale, CA is 11.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Salinas,CA,93902,Monterey,155662,salinas-ca,0.09250,9.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Salinas, CA Sales Tax Calculator","The combined sales tax rate in Salinas, CA is 9.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Salinas, CA is 9.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Springfield,MA,01104,Hampden,153703,springfield-ma,0.06250,6.25%,true,STATE,false,skipped,"Springfield, MA Sales Tax Calculator","The combined sales tax rate in Springfield, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Springfield, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pasadena,TX,77505,Harris,152735,pasadena-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Pasadena, TX Sales Tax Calculator","The combined sales tax rate in Pasadena, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pasadena, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Fort Collins,CO,80523,Larimer,152061,fort-collins-co,0.08300,8.3%,true,STATE|COUNTY|CITY,false,skipped,"Fort Collins, CO Sales Tax Calculator","The combined sales tax rate in Fort Collins, CO is 8.3%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Fort Collins, CO is 8.3%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Hayward,CA,94542,Alameda,151574,hayward-ca,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Hayward, CA Sales Tax Calculator","The combined sales tax rate in Hayward, CA is 10.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Hayward, CA is 10.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pomona,CA,91769,Los Angeles,151348,pomona-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Pomona, CA Sales Tax Calculator","The combined sales tax rate in Pomona, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pomona, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Cary,NC,27513,Wake,151088,cary-nc,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Cary, NC Sales Tax Calculator","The combined sales tax rate in Cary, NC is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Cary, NC is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Rockford,IL,61105,Winnebago,150251,rockford-il,0.08750,8.75%,true,STATE|COUNTY|CITY,false,skipped,"Rockford, IL Sales Tax Calculator","The combined sales tax rate in Rockford, IL is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Rockford, IL is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Alexandria,VA,22303,Fairfax,148892,alexandria-va,0.06000,6%,true,STATE|COUNTY|DISTRICT,false,skipped,"Alexandria, VA Sales Tax Calculator","The combined sales tax rate in Alexandria, VA is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Alexandria, VA is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Escondido,CA,92030,San Diego,148738,escondido-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Escondido, CA Sales Tax Calculator","The combined sales tax rate in Escondido, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Escondido, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
McKinney,TX,75069,Collin,148559,mckinney-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"McKinney, TX Sales Tax Calculator","The combined sales tax rate in McKinney, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in McKinney, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Kansas City,KS,66102,Wyandotte,148483,kansas-city-ks,0.09125,9.125%,true,STATE|COUNTY|CITY,false,skipped,"Kansas City, KS Sales Tax Calculator","The combined sales tax rate in Kansas City, KS is 9.125%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Kansas City, KS is 9.125%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Joliet,IL,60433,Will,147806,joliet-il,0.07000,7%,true,STATE|DISTRICT,false,skipped,"Joliet, IL Sales Tax Calculator","The combined sales tax rate in Joliet, IL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Joliet, IL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sunnyvale,CA,94086,Santa Clara,147559,sunnyvale-ca,0.09750,9.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Sunnyvale, CA Sales Tax Calculator","The combined sales tax rate in Sunnyvale, CA is 9.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sunnyvale, CA is 9.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Torrance,CA,90501,Los Angeles,147478,torrance-ca,0.10250,10.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Torrance, CA Sales Tax Calculator","The combined sales tax rate in Torrance, CA is 10.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Torrance, CA is 10.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Bridgeport,CT,06602,Connecticut Metropolitan,147216,bridgeport-ct,0.06350,6.35%,true,STATE,false,skipped,"Bridgeport, CT Sales Tax Calculator","The combined sales tax rate in Bridgeport, CT is 6.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Bridgeport, CT is 6.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Hollywood,FL,33023,Broward,146526,hollywood-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Hollywood, FL Sales Tax Calculator","The combined sales tax rate in Hollywood, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Hollywood, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Paterson,NJ,07502,Passaic,145948,paterson-nj,0.06625,6.625%,true,STATE,false,skipped,"Paterson, NJ Sales Tax Calculator","The combined sales tax rate in Paterson, NJ is 6.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Paterson, NJ is 6.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Naperville,IL,60540,DuPage,144864,naperville-il,0.07750,7.75%,true,STATE|CITY|DISTRICT,false,skipped,"Naperville, IL Sales Tax Calculator","The combined sales tax rate in Naperville, IL is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Naperville, IL is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Syracuse,NY,13252,Onondaga,144669,syracuse-ny,0.08000,8%,true,STATE|LOCAL,false,skipped,"Syracuse, NY Sales Tax Calculator","The combined sales tax rate in Syracuse, NY is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Syracuse, NY is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Mesquite,TX,75149,Dallas,143484,mesquite-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"Mesquite, TX Sales Tax Calculator","The combined sales tax rate in Mesquite, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Mesquite, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Dayton,OH,45422,Montgomery,143355,dayton-oh,0.07500,7.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Dayton, OH Sales Tax Calculator","The combined sales tax rate in Dayton, OH is 7.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Dayton, OH is 7.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Savannah,GA,31406,Chatham,142772,savannah-ga,0.07000,7%,true,STATE|COUNTY,false,skipped,"Savannah, GA Sales Tax Calculator","The combined sales tax rate in Savannah, GA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Savannah, GA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Clarksville,TN,37044,Montgomery,142357,clarksville-tn,0.09500,9.5%,true,STATE|COUNTY,false,skipped,"Clarksville, TN Sales Tax Calculator","The combined sales tax rate in Clarksville, TN is 9.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Clarksville, TN is 9.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Orange,CA,92863,Orange,139969,orange-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Orange, CA Sales Tax Calculator","The combined sales tax rate in Orange, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Orange, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pasadena,CA,91199,Los Angeles,139731,pasadena-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Pasadena, CA Sales Tax Calculator","The combined sales tax rate in Pasadena, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pasadena, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Fullerton,CA,92832,Orange,138981,fullerton-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Fullerton, CA Sales Tax Calculator","The combined sales tax rate in Fullerton, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Fullerton, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Killeen,TX,76541,Bell,137147,killeen-tx,0.08250,8.25%,true,STATE|COUNTY|CITY,false,skipped,"Killeen, TX Sales Tax Calculator","The combined sales tax rate in Killeen, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Killeen, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Frisco,TX,75034,Collin,136791,frisco-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"Frisco, TX Sales Tax Calculator","The combined sales tax rate in Frisco, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Frisco, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Hampton,VA,23669,Hampton (city),136699,hampton-va,0.06000,6%,true,STATE|COUNTY|DISTRICT,false,skipped,"Hampton, VA Sales Tax Calculator","The combined sales tax rate in Hampton, VA is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Hampton, VA is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
McAllen,TX,78501,Hidalgo,136639,mcallen-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"McAllen, TX Sales Tax Calculator","The combined sales tax rate in McAllen, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in McAllen, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Warren,MI,48090,Macomb,134873,warren-mi,0.06000,6%,true,STATE,false,skipped,"Warren, MI Sales Tax Calculator","The combined sales tax rate in Warren, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Warren, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Bellevue,WA,98005,King,133992,bellevue-wa,0.10300,10.3%,true,STATE|COUNTY|DISTRICT,false,skipped,"Bellevue, WA Sales Tax Calculator","The combined sales tax rate in Bellevue, WA is 10.3%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Bellevue, WA is 10.3%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
West Valley City,UT,84119,Salt Lake,133579,west-valley-city-ut,0.06750,6.75%,true,STATE|COUNTY|CITY,false,skipped,"West Valley City, UT Sales Tax Calculator","The combined sales tax rate in West Valley City, UT is 6.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in West Valley City, UT is 6.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Columbia,SC,29204,Richland,133358,columbia-sc,0.08000,8%,true,STATE|LOCAL,false,skipped,"Columbia, SC Sales Tax Calculator","The combined sales tax rate in Columbia, SC is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Columbia, SC is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Olathe,KS,66061,Johnson,131885,olathe-ks,0.09475,9.475%,true,STATE|COUNTY|CITY,false,skipped,"Olathe, KS Sales Tax Calculator","The combined sales tax rate in Olathe, KS is 9.475%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Olathe, KS is 9.475%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sterling Heights,MI,48311,Macomb,131224,sterling-heights-mi,0.06000,6%,true,STATE,false,skipped,"Sterling Heights, MI Sales Tax Calculator","The combined sales tax rate in Sterling Heights, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sterling Heights, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
New Haven,CT,06511,South Central Regional,130660,new-haven-ct,0.06350,6.35%,true,STATE,false,skipped,"New Haven, CT Sales Tax Calculator","The combined sales tax rate in New Haven, CT is 6.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in New Haven, CT is 6.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Waco,TX,76707,McLennan,129030,waco-tx,0.08250,8.25%,true,STATE|COUNTY|CITY,false,skipped,"Waco, TX Sales Tax Calculator","The combined sales tax rate in Waco, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Waco, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Thousand Oaks,CA,91362,Ventura,128731,thousand-oaks-ca,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Thousand Oaks, CA Sales Tax Calculator","The combined sales tax rate in Thousand Oaks, CA is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Thousand Oaks, CA is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Cedar Rapids,IA,52406,Linn,128429,cedar-rapids-ia,0.07000,7%,true,STATE|LOCAL,false,skipped,"Cedar Rapids, IA Sales Tax Calculator","The combined sales tax rate in Cedar Rapids, IA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Cedar Rapids, IA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Charleston,SC,29403,Charleston,127999,charleston-sc,0.09000,9%,true,STATE|LOCAL,false,skipped,"Charleston, SC Sales Tax Calculator","The combined sales tax rate in Charleston, SC is 9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Charleston, SC is 9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Visalia,CA,93278,Tulare,127763,visalia-ca,0.08500,8.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Visalia, CA Sales Tax Calculator","The combined sales tax rate in Visalia, CA is 8.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Visalia, CA is 8.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Topeka,KS,66621,Shawnee,127679,topeka-ks,0.09350,9.35%,true,STATE|COUNTY|CITY,false,skipped,"Topeka, KS Sales Tax Calculator","The combined sales tax rate in Topeka, KS is 9.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Topeka, KS is 9.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
